Рыба,Локация,Наживка,Расстояние,Цена,Мин. вес (кг),Макс. вес (кг),Автор,Дата,Примечание
Щука Травянка,Река Клаус,Пиявка,3 метра,200-280,0.75,3.15,Лёха Лягушка,19.07.2022,
Угорь,Озеро Вабакими,Сыр,3 м,200-300,2.6,4.1,Лёха Лягушка,19.07.2022,Часто попадается трофейный экземпляр
Сайда (Серебристая Сайда),Долина Ветров,Креветка,"3,0 м",,,,Павел Дранчук / Роман Иванов,31.07.2022,"Крюк №5; без прилова; совет по прокачке: до 43 уровня ловить угря, после — сайду"
Форель Ручьевая,Белые скалы,Икра,5.6 м,,7.285,7.6,Юрчег Самоделкин (скриншот таблицы),01.08.2022,
Хариус,Холодное озеро,Икра,3.0 м,,6.178,6.3,Юрчег Самоделкин (скриншот таблицы),01.08.2022,
Химера,Мрачная река,Пиявка + кровь (доп. энергетик),3.0 м,,192.417,200,Юрчег Самоделкин (скриншот таблицы),01.08.2022,Крючок #2.2
Хвостокол,Река Амазонка,Креветка,13.2 м,,17.86,18,Юрчег Самоделкин (скриншот таблицы),01.08.2022,
Черепаха Логгерхед,Остров Робинзон,Кальмар,3.0 м,,195.746,200,Юрчег Самоделкин (скриншот таблицы),01.08.2022,Крючок #6.1
Чехонь,Белые скалы,Опарыш,3.0 м,,2.28,2.3,Юрчег Самоделкин (скриншот таблицы),01.08.2022,Крючок #2.1
Чёрный Амур,Река Колорадо,Кусок рыбы,3.0 м,,,,Юрчег Самоделкин (скриншот таблицы),01.08.2022,
Чёрный Кайман,Река Амазонка,Лягушка,7.7 м,,194.966,194.966,Юрчег Самоделкин (скриншот таблицы),01.08.2022,
Чёрный Краппи,Река Колорадо,Креветка,9.0 м,,2.685,2.7,Юрчег Самоделкин (скриншот таблицы),01.08.2022,
Чир,Долина камней,Маленький живец,,,16,17.3,Юрчег Самоделкин (скриншот таблицы),01.08.2022,
Шестиполосный Дистиход,Река Кафуэ,Майский жук,,,3,3.2,Юрчег Самоделкин (скриншот таблицы),01.08.2022,
Шип,Залив Кристалино,Средний живец,15 м,,34.14,35,Юрчег Самоделкин (скриншот таблицы),01.08.2022,Крючок #3.4
Щука Амурская,Река Таби,Средний живец,12.3 м,,20.27,21,Юрчег Самоделкин (скриншот таблицы),01.08.2022,
Щука Глубинная,Озеро Тахо,Большой живец,14 м,,93.453,94,Юрчег Самоделкин (скриншот таблицы),01.08.2022,Крючок #5.1
Щука Маскинонг,Озеро Дайл,Лягушка,7.7 м,,31.521,32.8,Юрчег Самоделкин (скриншот таблицы),01.08.2022,Крючок #1.4
Щука Травянка (доп. вариант),Озеро Изумрудное,Личинка майского жука,3 м,,0.75,3.15,Юрчег Самоделкин (скриншот таблицы),01.08.2022,Крючок #4.1; альтернатива варианту с рекой Клаус
Электрический Сом,Река Кафуэ,Средний живец,,,24.957,25.4,Юрчег Самоделкин (скриншот таблицы),01.08.2022,
Электрический Угорь,Река Амазонка,Средний живец,4.7 м,,41.56,42,Юрчег Самоделкин (скриншот таблицы),01.08.2022,
Японский Речной Угорь,Река Исикари,Живец,3 м,,4.284,4.35,Юрчег Самоделкин (скриншот таблицы),01.08.2022,
Язь,Белые скалы,Манка,14.0 м,,5.92,6.1,Юрчег Самоделкин (скриншот таблицы),01.08.2022,Крючок #4.1
Виена,Луна,Спиннинг: Predator Pro,,,198,200,Юрчег Самоделкин (скриншот таблицы),01.08.2022,
Газилиус,Луна,Спиннинг: Predator Pro,,,194.857,200,Юрчег Самоделкин (скриншот таблицы),01.08.2022,
Зой,Луна,Спиннинг: Master,,,126.261,130,Юрчег Самоделкин (скриншот таблицы),01.08.2022,Крючок #5.1
Карин,Луна,Спиннинг: Predator Pro,,,110.658,112,Юрчег Самоделкин (скриншот таблицы),01.08.2022,
Кинста,Луна,Спиннинг: Big Hunter,,,43.499,44,Юрчег Самоделкин (скриншот таблицы),01.08.2022,
Панзерус,Луна,Спиннинг: Shake Head,,,75.536,80,Юрчег Самоделкин (скриншот таблицы),01.08.2022,
