Рыба,Вес (кг),Базовая цена,Экран,Наживка,Папка,Статус
Амур Белый,4.304,124,садок,,"Озеро Луиз, Горох, 4м.",чистая
Амур Белый,5.081,128,садок,,"Озеро Луиз, Горох, 4м.",чистая
Амур Белый,5.725,132,садок,,"Озеро Луиз, Горох, 4м.",чистая
Амур Белый,6.025,133,садок,,"Озеро Луиз, Горох, 4м.",чистая
Амур Белый,6.474,135,садок,,"Озеро Луиз, Горох, 4м.",чистая
Амур Белый,6.539,135,садок,,"Озеро Луиз, Горох, 4м.",чистая
Амур Белый,6.998,138,садок,,"Озеро Луиз, Горох, 4м.",чистая
Амур Белый,8.203,145,садок,,"Озеро Луиз, Горох, 4м.",чистая
Амур Белый,9.204,150,садок,,"Озеро Луиз, Горох, 4м.",чистая
Амур Белый,9.882,153,садок,,"Озеро Луиз, Горох, 4м.",чистая
Амур Белый,9.972,154,садок,,"Озеро Луиз, Горох, 4м.",чистая
Амур Белый,10.210,156,садок,,"Озеро Луиз, Горох, 4м.",чистая
Амур Белый,10.771,158,поимка,Горох,"Озеро Луиз, Горох, 4м.",чистая
Амур Белый,10.771,158,садок,,"Озеро Луиз, Горох, 4м.",чистая
Аравана Серебристая,0.820,72,поимка,Живец (маленький),"Река Амазонка, живец (маленький)",чистая
Аравана Серебристая,0.884,72,поимка,Живец (маленький),"Река Амазонка, живец (маленький)",чистая
Аравана Серебристая,1.134,374,поимка,,"Река Амазонка, живец (маленький)",выброс
Аравана Серебристая,1.222,374,поимка,,"Река Амазонка, живец (маленький)",выброс
Аравана Серебристая,1.273,75,поимка,Живец (маленький),"Река Амазонка, живец (маленький)",чистая
Белоглазка,0.884,267,садок,,"Озеро Луиз, Горох, 4м.",
Белоглазка,0.948,68,садок,,"Холодное озеро, опарыш, 10м., #4.х",
Белоглазка,1.403,30,садок,,"Озеро Тахо, опарыш, #4.х, 3м.",
Белорыбица,11.107,192,садок,,Река Таби,
Большеротый Буффало,8.885,102,поимка,Личинка майского жука,"Озеро Дайл, опарыш, #4.х",чистая
Большеротый Буффало,26.294,150,поимка,Личинка короеда,"Озеро Дайл, опарыш, #4.х",чистая
Жерех,10.177,141,садок,,"Озеро Дайл, опарыш, #4.х",чистая
Жерех,11.842,152,поимка,№5001,Река Таби,чистая
Жерех,11.842,228,садок,,Река Таби,трофей ×1.5
Зеркальный Карп,1.790,109,садок,,"Озеро Тахо, опарыш, #4.х, 3м.",чистая
Зеркальный Карп,1.951,136,садок,,"Озеро Луиз, Горох, 4м.",выброс
Зеркальный Карп,3.029,115,садок,,"Озеро Луиз, Горох, 4м.",чистая
Зеркальный Карп,3.443,139,садок,,"Озеро Луиз, Горох, 4м.",выброс
Зеркальный Карп,3.447,117,садок,,"Озеро Луиз, Горох, 4м.",чистая
Зеркальный Карп,3.447,117,садок,,"Озеро Луиз, Горох, 4м.",чистая
Зеркальный Карп,3.592,117,садок,,"Озеро Луиз, Горох, 4м.",чистая
Зеркальный Карп,3.592,117,садок,,"Озеро Луиз, Горох, 4м.",чистая
Зеркальный Карп,3.668,140,садок,,"Озеро Луиз, Горох, 4м.",выброс
Зеркальный Карп,3.683,140,садок,,"Озеро Тахо, опарыш, #4.х, 3м.",выброс
Зеркальный Карп,4.053,120,садок,,"Озеро Луиз, Горох, 4м.",чистая
Зеркальный Карп,4.199,120,садок,,"Озеро Луиз, Горох, 4м.",чистая
Зеркальный Карп,4.424,121,садок,,"Озеро Тахо, опарыш, #4.х, 3м.",чистая
Зеркальный Карп,4.786,123,садок,,"Озеро Луиз, Горох, 4м.",чистая
Зеркальный Карп,5.268,124,садок,,"Озеро Луиз, Горох, 4м.",чистая
Зеркальный Карп,5.706,127,садок,,"Озеро Луиз, Горох, 4м.",чистая
Зеркальный Карп,5.902,128,садок,,"Озеро Луиз, Горох, 4м.",чистая
Зеркальный Карп,6.005,128,садок,,"Озеро Тахо, опарыш, #4.х, 3м.",чистая
Зеркальный Карп,6.005,128,садок,,"Озеро Тахо, опарыш, #4.х, 3м.",чистая
Зеркальный Карп,6.127,129,садок,,"Озеро Луиз, Горох, 4м.",чистая
Зеркальный Карп,6.414,130,садок,,"Озеро Тахо, опарыш, #4.х, 3м.",чистая
Зеркальный Карп,6.981,133,садок,,"Озеро Луиз, Горох, 4м.",чистая
Зеркальный Карп,7.251,134,садок,,"Озеро Луиз, Горох, 4м.",чистая
Зеркальный Карп,7.343,136,садок,,"Озеро Луиз, Горох, 4м.",выброс
Зеркальный Карп,7.460,135,садок,,"Озеро Луиз, Горох, 4м.",чистая
Зеркальный Карп,8.914,141,садок,,"Озеро Луиз, Горох, 4м.",чистая
Зеркальный Карп,9.626,145,садок,,"Озеро Луиз, Горох, 4м.",чистая
Зеркальный Карп,12.026,156,садок,,"Озеро Луиз, Горох, 4м.",чистая
Зеркальный Карп,12.087,156,садок,,"Озеро Луиз, Горох, 4м.",чистая
Зеркальный Карп,12.186,156,садок,,"Озеро Луиз, Горох, 4м.",чистая
Зеркальный Карп,12.665,158,садок,,"Озеро Луиз, Горох, 4м.",чистая
Зеркальный Карп,12.876,159,садок,,"Озеро Луиз, Горох, 4м.",чистая
Зеркальный Карп,13.361,162,садок,,"Озеро Тахо, опарыш, #4.х, 3м.",чистая
Зеркальный Карп,13.862,163,садок,,"Озеро Тахо, опарыш, #4.х, 3м.",чистая
Зеркальный Карп,13.932,164,садок,,"Озеро Луиз, Горох, 4м.",чистая
Зеркальный Карп,13.932,164,садок,,"Озеро Луиз, Горох, 4м.",чистая
Зеркальный Карп,16.005,172,садок,,"Озеро Тахо, опарыш, #4.х, 3м.",чистая
Зеркальный Карп,20.182,192,садок,,"Озеро Тахо, опарыш, #4.х, 3м.",чистая
Змееголов,3.203,153,садок,,"Река Амазонка, живец (маленький)",выброс
Змееголов,9.049,159,садок,,"Река Амазонка, живец (маленький)",чистая
Змееголов,9.316,2160,садок,,"Река Амазонка, живец (маленький)",выброс
Змееголов,10.321,168,садок,,"Река Амазонка, живец (маленький)",чистая
Змееголов,10.828,171,садок,,"Река Амазонка, живец (маленький)",чистая
Змееголов,11.345,175,садок,,"Река Амазонка, живец (маленький)",чистая
Змееголов,12.060,181,садок,,"Река Амазонка, живец (маленький)",чистая
Змееголов,12.292,182,садок,,"Река Амазонка, живец (маленький)",чистая
Змееголов,12.363,183,садок,,"Река Амазонка, живец (маленький)",чистая
Змееголов,12.363,183,садок,,"Река Амазонка, живец (маленький)",чистая
Змееголов,12.516,184,садок,,"Река Амазонка, живец (маленький)",чистая
Змееголов,12.760,186,садок,,"Река Амазонка, живец (маленький)",чистая
Змееголов,13.028,282,садок,,"Река Амазонка, живец (маленький)",трофей ×1.5
Змееголов,13.105,282,садок,,"Река Амазонка, живец (маленький)",трофей ×1.5
Змееголов,13.114,188,поимка,Живец (маленький),"Река Амазонка, живец (маленький)",чистая
Змееголов,13.215,189,поимка,Живец (маленький),Озеро Вабакими,чистая
Змееголов,13.411,285,поимка,Живец (маленький),"Река Амазонка, живец (маленький)",трофей ×1.5
Змееголов,13.427,285,садок,,"Река Амазонка, живец (маленький)",трофей ×1.5
Змееголов,13.427,285,садок,,"Река Амазонка, живец (маленький)",трофей ×1.5
Змееголов,13.471,285,садок,,"Река Амазонка, живец (маленький)",трофей ×1.5
Китайский Окунь,5.039,100,садок,,Река Таби,чистая
Китайский Окунь,6.272,111,садок,,Река Таби,чистая
